GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US18149,18149,"Starke County, Indiana",23363,23363,23380,23234,23213
0500000US18151,18151,"Steuben County, Indiana",34185,34185,34141,34064,34124
0500000US18153,18153,"Sullivan County, Indiana",21475,21475,21422,21252,21188
0500000US18155,18155,"Switzerland County, Indiana",10613,10613,10624,10571,10424
0500000US18157,18157,"Tippecanoe County, Indiana",172780,172780,172925,175173,177513
0500000US18159,18159,"Tipton County, Indiana",15936,15936,15880,15829,15695
0500000US18161,18161,"Union County, Indiana",7516,7516,7516,7475,7362
0500000US18163,18163,"Vanderburgh County, Indiana",179703,179703,179813,180330,180858
0500000US18165,18165,"Vermillion County, Indiana",16212,16212,16157,16159,16040
0500000US18167,18167,"Vigo County, Indiana",107848,107848,107911,108287,108428
0500000US18169,18169,"Wabash County, Indiana",32888,32888,32829,32554,32361
0500000US18171,18171,"Warren County, Indiana",8508,8508,8504,8467,8342
0500000US18173,18173,"Warrick County, Indiana",59689,59689,59850,60272,60463
0500000US18175,18175,"Washington County, Indiana",28262,28262,28265,28184,27921
0500000US18177,18177,"Wayne County, Indiana",68917,68917,68869,68693,68346
0500000US18179,18179,"Wells County, Indiana",27636,27636,27646,27714,27652
0500000US18181,18181,"White County, Indiana",24643,24643,24659,24529,24426
0500000US18183,18183,"Whitley County, Indiana",33292,33292,33338,33318,33342
0500000US19001,19001,"Adair County, Iowa",7682,7682,7664,7572,7481
0500000US19003,19003,"Adams County, Iowa",4029,4029,4024,4001,3911
0500000US19005,19005,"Allamakee County, Iowa",14330,14330,14348,14253,14237
0500000US19007,19007,"Appanoose County, Iowa",12887,12887,12872,12874,12700
0500000US19009,19009,"Audubon County, Iowa",6119,6119,6112,6027,5910
0500000US19011,19011,"Benton County, Iowa",26076,26076,26062,26113,25827
0500000US19013,19013,"Black Hawk County, Iowa",131090,131090,131203,131394,131820
0500000US19015,19015,"Boone County, Iowa",26306,26306,26280,26329,26195
0500000US19017,19017,"Bremer County, Iowa",24276,24276,24275,24372,24479
0500000US19019,19019,"Buchanan County, Iowa",20958,20958,20943,20883,20942
0500000US19021,19021,"Buena Vista County, Iowa",20260,20260,20331,20294,20592
0500000US19023,19023,"Butler County, Iowa",14867,14867,14903,14951,14986
0500000US19025,19025,"Calhoun County, Iowa",9670,10177,10173,10067,9909
0500000US19027,19027,"Carroll County, Iowa",20816,20816,20811,20829,20631
0500000US19029,19029,"Cass County, Iowa",13956,13956,13937,13783,13723
0500000US19031,19031,"Cedar County, Iowa",18499,18499,18488,18407,18416
0500000US19033,19033,"Cerro Gordo County, Iowa",44151,44151,44107,43994,43788
0500000US19035,19035,"Cherokee County, Iowa",12072,12072,12111,12029,11946
0500000US19037,19037,"Chickasaw County, Iowa",12439,12439,12420,12412,12276
0500000US19039,19039,"Clarke County, Iowa",9286,9286,9301,9312,9370
0500000US19041,19041,"Clay County, Iowa",16667,16667,16632,16611,16599
0500000US19043,19043,"Clayton County, Iowa",18129,18129,18086,17964,17835
0500000US19045,19045,"Clinton County, Iowa",49116,49116,49118,49086,48717
0500000US19047,19047,"Crawford County, Iowa",17096,17096,17140,17226,17309
0500000US19049,19049,"Dallas County, Iowa",66135,66135,66671,69714,71967
0500000US19051,19051,"Davis County, Iowa",8753,8753,8776,8750,8689
0500000US19053,19053,"Decatur County, Iowa",8457,8457,8425,8269,8253
0500000US19055,19055,"Delaware County, Iowa",17764,17764,17775,17662,17574
0500000US19057,19057,"Des Moines County, Iowa",40325,40325,40267,40119,40340
0500000US19059,19059,"Dickinson County, Iowa",16667,16667,16665,16899,16972
0500000US19061,19061,"Dubuque County, Iowa",93653,93653,93879,94436,95097
0500000US19063,19063,"Emmet County, Iowa",10302,10302,10289,10099,10120
0500000US19065,19065,"Fayette County, Iowa",20880,20880,20853,20976,20793
0500000US19067,19067,"Floyd County, Iowa",16303,16303,16299,16085,16056
0500000US19069,19069,"Franklin County, Iowa",10680,10680,10674,10674,10554
0500000US19071,19071,"Fremont County, Iowa",7441,7441,7421,7353,7147
0500000US19073,19073,"Greene County, Iowa",9336,9336,9331,9290,9153
0500000US19075,19075,"Grundy County, Iowa",12453,12453,12446,12453,12448
0500000US19077,19077,"Guthrie County, Iowa",10954,10954,10945,10875,10777
0500000US19079,19079,"Hamilton County, Iowa",15673,15673,15643,15479,15344
0500000US19081,19081,"Hancock County, Iowa",11341,11341,11307,11265,11134
0500000US19083,19083,"Hardin County, Iowa",17534,17534,17519,17349,17302
0500000US19085,19085,"Harrison County, Iowa",14928,14935,14927,14798,14548
0500000US19087,19087,"Henry County, Iowa",20145,20145,20121,20343,20236
0500000US19089,19089,"Howard County, Iowa",9566,9566,9553,9533,9563
0500000US19091,19091,"Humboldt County, Iowa",9815,9814,9802,9800,9729
0500000US19093,19093,"Ida County, Iowa",7089,7089,7070,7083,7108
0500000US19095,19095,"Iowa County, Iowa",16355,16355,16329,16340,16189
